dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/short,f32,1864458.6702514864,1864458.6702514864,156.44348999861953,0.6772439764257012,1.622649512916843,0.7327761691143877,12.748371031812844,1365.4518190882775,4.287180962318509,0.49119386171280655,0.3781791496923443,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,f32,3217943.0006126845,3217943.0006126845,235.82444140720398,0.9997340684785834,1.1008327539966956,0.8144285025714992,21.051718726809607,1793.8625924559228,5.450250088652177,0.7164997966350897,0.5790086810838656,Web/CloudOps,2
bitbrains_fast_storage/5T/long,f32,4031962.8540432095,4031962.8540432095,299.5772668299593,0.905925014720046,1.0300941949869948,0.8328891791536149,16.102957579399032,2007.9748140958366,5.306477871383642,0.7916932652955567,0.634902241341,Web/CloudOps,2
bitbrains_fast_storage/H/short,f32,2473953.010376235,2473953.010376235,267.0830741416686,1.0737060978304571,2.693089367619285,0.5815916802252579,19.920024117612655,1572.8804819108905,4.483220236755025,0.7612735084816877,0.5878866332484574,Web/CloudOps,2
bitbrains_rnd/5T/short,f32,1834371.6451031293,1834371.6451031293,123.51284971326757,1.646101963476161,1.0105778525010216,0.6531037454824157,52.10584260252848,1354.3897685316178,5.54177188674964,0.5053789197886579,0.4012600026233851,Web/CloudOps,2
bitbrains_rnd/5T/medium,f32,2348290.154262425,2348290.154262425,154.77920818194968,4.415715702205251,0.7192761720374728,0.7073674328790478,160.11713453107512,1532.4131800080634,6.4476432639125205,0.6512350141903702,0.6204767749671107,Web/CloudOps,2
bitbrains_rnd/5T/long,f32,2508691.430453538,2508691.430453538,170.23700331078655,3.378418668433438,1.2576199253217188,0.7008263854606519,116.04975554408982,1583.8849170484382,6.067506537424996,0.6521396342511225,0.5945257450052609,Web/CloudOps,2
bitbrains_rnd/H/short,f32,1768629.0037082818,1768629.0037082818,133.52198861941093,5.793990882824907,0.8025360625738444,0.530163783564994,197.34685190051323,1329.898117792593,5.820285095154886,0.584357575847173,0.5811461408633238,Web/CloudOps,2
bizitobs_application/10S/short,f32,611938.3466666667,611938.3466666667,401.18381944444445,1.2715391970505552,0.017951030731201172,0.018190893609574543,11.943199472128823,782.2648826750864,0.030168829722680347,0.015472056338416846,0.012166226141892942,Web/CloudOps,2
bizitobs_application/10S/medium,f32,4088760.7466666666,4088760.7466666666,1107.1915625,2.4645583308081536,0.03551319758097331,0.03626483223557656,37.115546440234624,2022.0684327358128,0.07940067605054349,0.04347615399989948,0.03774082989584572,Web/CloudOps,2
bizitobs_application/10S/long,f32,5805830.826666667,5805830.826666667,1464.5584722222222,3.1699699107213175,0.04560924953884549,0.04661531800266572,60.997687896534174,2409.5291711591017,0.09292590896825793,0.05648216626609445,0.051003050670979475,Web/CloudOps,2
bizitobs_l2c/5T/short,f32,19.876083519345237,19.876083519345237,2.571915690104167,0.26884696439244893,0.1459403290389972,0.20632738938990391,2.229005363210117,4.458260144871005,0.15311469905007036,0.08832999512724658,0.07095788118324248,Web/CloudOps,7
bizitobs_l2c/5T/medium,f32,105.40417729591837,105.40417729591837,6.090081579506803,0.6139907360760545,0.4228758680111923,0.7185411576202754,3.7447475957465666,10.266653656178256,0.5401769599953752,0.32042784961019233,0.24721353193018208,Web/CloudOps,7
