dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m_dense/H/long,q8_0,34642.137283950615,34642.137283950615,78.21183641975308,0.678386196049028,0.25934336202359204,0.18812992058800693,7.9683323624781135,186.12398363443282,0.3222081642305722,0.13539626512296707,0.11271508908752723,Transport,1
sz_taxi/15T/short,q8_0,16.631449008890414,16.631449008890414,2.7332277030153005,0.5454723140633334,1206602871339.2542,0.39625953783833257,3.857037620099207,4.07816735910757,0.3813261109335348,0.25556849400969656,0.20069981105841558,Transport,1
sz_taxi/15T/medium,q8_0,16.203358707264957,16.203358707264957,2.7308902577457266,0.5326467898367369,8927270317162.775,0.4043922925551031,3.6929335642685444,4.025339576640082,0.3746250074752065,0.2541549014048402,0.20001984940548317,Transport,1
sz_taxi/15T/long,q8_0,15.333823005698006,15.333823005698006,2.6501377203525642,0.5006526605073892,5736496591564.508,0.3933976980976909,3.5270527727632826,3.9158425665108147,0.3624434125985273,0.24529202665993136,0.19397448717246707,Transport,1
sz_taxi/H/short,q8_0,7.168314094217415,7.168314094217415,1.8403380304320245,0.5604289171488032,1.311185787885617,0.2967554293988907,4.023810910521633,2.6773707427656364,0.2494136064430261,0.17143884405421164,0.13538535541129912,Transport,1
bitbrains_fast_storage/5T/short,q8_0,1865312.4025648471,1865312.4025648471,156.52288538755946,0.6791513026852173,1.6226784169287554,0.7328753695981304,12.760314371432877,1365.7644022908369,4.288162396255919,0.49144314359533126,0.3784016162681497,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,q8_0,3219487.3150544777,3219487.3150544777,235.75549852398683,1.0018819594892114,1.0923426210207572,0.8145369435449034,21.065488454233297,1794.2929847308876,5.451557739274162,0.7162903291112412,0.5787108500358794,Web/CloudOps,2
bitbrains_fast_storage/5T/long,q8_0,4033100.024418313,4033100.024418313,299.26989656226704,0.9077424691398476,1.02261232581424,0.8328151781496692,16.134545637673096,2008.2579576384885,5.307226135222889,0.7908809774558985,0.634383494054847,Web/CloudOps,2
bitbrains_fast_storage/H/short,q8_0,2476867.473939456,2476867.473939456,267.3062788645263,1.0757318689936881,2.699057823817529,0.5814890101517236,19.930979019163093,1573.8066825183632,4.485860209311409,0.7619097144375524,0.5881206231552986,Web/CloudOps,2
bitbrains_rnd/5T/short,q8_0,1834398.2186812668,1834398.2186812668,123.5158563107684,1.650212558859213,1.0107954751444266,0.6534907297322391,52.130991184644294,1354.3995786625403,5.541812026972945,0.5053912219175517,0.4011567325771732,Web/CloudOps,2
bitbrains_rnd/5T/medium,q8_0,2342784.025049563,2342784.025049563,154.3607256204957,4.420518070535927,0.7057662410009686,0.7076062946591831,160.14839444938252,1530.6155706282238,6.440079805074998,0.6494742447688953,0.6196776600334724,Web/CloudOps,2
bitbrains_rnd/5T/long,q8_0,2508286.7016702094,2508286.7016702094,170.1253141258327,3.3845743794512106,1.2515928357428763,0.7003596104562763,116.10285645643049,1583.757147314641,6.0670170803396015,0.6517117781281347,0.5940436361063844,Web/CloudOps,2
bitbrains_rnd/H/short,q8_0,1768665.2306380803,1768665.2306380803,133.52180213972125,5.796969776612065,0.8047313931503225,0.5296880779269992,197.35057978279022,1329.9117379127385,5.8203447034671445,0.5843567597207766,0.5809474374178677,Web/CloudOps,2
bizitobs_application/10S/short,q8_0,610271.4311111111,610271.4311111111,401.2014236111111,1.2714226265049018,0.017947192721896703,0.018185837331606766,11.918989800634083,781.1987142277636,0.030127711867264186,0.015472735260759315,0.012164915959268474,Web/CloudOps,2
bizitobs_application/10S/medium,q8_0,4085479.2533333334,4085479.2533333334,1106.6429166666667,2.46527526099021,0.03551747004191081,0.03626745083160505,37.110340587042565,2021.256849916243,0.07936880758184994,0.04345461029278565,0.037730289207400146,Web/CloudOps,2
bizitobs_application/10S/long,q8_0,5803906.275555556,5803906.275555556,1464.3123611111112,3.1712800072843716,0.04562466939290365,0.04663028026990204,61.06611742076217,2409.1297755736523,0.09291050587695693,0.05647267474427312,0.05100086955989315,Web/CloudOps,2
bizitobs_l2c/5T/short,q8_0,19.921205357142856,19.921205357142856,2.5769066220238095,0.269289367893415,0.1461328419691562,0.20648517921652543,2.2376526197772493,4.463317752204391,0.15328839775754838,0.08850140393113494,0.07109674222201344,Web/CloudOps,7
bizitobs_l2c/5T/medium,q8_0,105.81241496598639,105.81241496598639,6.102049452593538,0.6151186278923192,0.42365613980170697,0.7194238134412675,3.74894008979216,10.286516172445674,0.5412220204419926,0.3210575357297501,0.2476956900136609,Web/CloudOps,7
bizitobs_l2c/5T/long,q8_0,142.57286706349205,142.57286706349205,6.877509920634921,0.6915463991622652,0.5217929752365018,0.8392698203788702,4.234830460268202,11.940388061679238,0.6704349387510702,0.3861619001478494,0.3051152616082012,Web/CloudOps,7
bizitobs_l2c/H/short,q8_0,61.74141632564484,61.74141632564484,4.692445300874256,0.4770208975417847,0.40376204895458634,0.6229206097078268,2.653746968388371,7.857570637649072,0.42354318095547866,0.25293481927723427,0.19651574224558088,Web/CloudOps,7
bizitobs_l2c/H/medium,q8_0,78.24901413690476,78.24901413690476,4.975618489583334,0.5117673300559348,0.47877887396950736,0.7756240435745824,3.6804079028040015,8.845847282024756,0.5356294889970489,0.30128125707476244,0.24369198744038378,Web/CloudOps,7
bizitobs_l2c/H/long,q8_0,85.69046378968254,85.69046378968254,5.248738606770833,0.5613541782181419,0.5538133927700858,0.7689978252172864,4.409137844319821,9.256914377355045,0.5654390472690081,0.32060810289406116,0.2588994326080653,Web/CloudOps,7
bizitobs_service/10S/short,q8_0,2998.5197883597884,2998.5197883597884,21.586117724867727,0.8213284469643047,0.06430055648561508,0.059200401493002014,7.532018152801702,54.7587416615812,0.04056702641586844,0.015991686101419975,0.012714667039680112,Web/CloudOps,2
bizitobs_service/10S/medium,q8_0,19014.772063492062,19014.772063492062,42.02215773809524,1.1628121674420624,0.08771857367621527,0.08351490377421052,10.836522317656609,137.89406101602805,0.10378231980934213,0.03162686617044881,0.024132574200955628,Web/CloudOps,2
bizitobs_service/10S/long,q8_0,118294.85037037038,118294.85037037038,79.48580026455026,1.4513414471351314,0.10108990704571759,0.10299791531140694,18.79395384059569,343.9401842913537,0.2548018840143507,0.058885621933141834,0.05137476520672743,Web/CloudOps,2
car_parts/M/short,q8_0,1.3588635274989205,1.3588635274989205,0.46334171105115335,0.8453269210352773,0.8095735806103705,1.8864099642125534,12.354489046594983,1.1657030185681603,2.795236260198325,1.111045893304247,0.9658944961700292,Sales,1
covid_deaths/D/short,q8_0,1189615.1899749374,1189615.1899749374,193.8264411027569,41.627721837803726,0.11095948427696344,0.39387579646845133,872.2819673794953,1090.6948198166788,0.4103792338874321,0.07292814173285074,0.06232313916266663,Healthcare,1
electricity/15T/short,q8_0,162438.75087837837,162438.75087837837,57.95120477899775,1.0848934993639352,0.17581108964395706,0.17563243744511045,12.526572734272387,403.0369100695101,0.794465196236433,0.11423324793985691,0.09521881202864814,Energy,1
electricity/15T/medium,q8_0,265411.9581981982,265411.9581981982,54.59333811936937,0.8554339597893702,0.13059022500268508,0.1337547866947701,7.451885084866074,515.1814808377706,0.8877095659295916,0.09406981867008085,0.07629293911854639,Energy,1
electricity/15T/long,q8_0,365085.13547147147,365085.13547147147,61.06876238738739,0.9042999338224639,0.13398038642168125,0.1357232281665941,7.567348018626707,604.2227531891458,0.9532354365736059,0.09634345623050057,0.07785633377013312,Energy,1
electricity/D/short,q8_0,1241536495.3207927,1241536495.3207927,4160.64036036036,1.3884795868089208,0.24564371073104457,0.09366932345566009,11.46573917422836,35235.44373668072,0.5790353907529208,0.06837314253362611,0.053917095183865185,Energy,1
electricity/H/short,q8_0,1600676.2745945945,1600676.2745945945,172.57980292792791,0.9499925639011064,0.17676057519397192,0.12633485782894474,10.79236204944958,1265.1783568313972,0.5972545325434353,0.08146999114204247,0.06669310651697032,Energy,1
electricity/H/medium,q8_0,4684299.534414414,4684299.534414414,230.47375563063062,1.0612347613912245,0.21465784999982201,0.12937541771052782,8.829013707109594,2164.3242673902664,0.8448071001506539,0.08996150349962072,0.07127762269747773,Energy,1
electricity/H/long,q8_0,5629142.812444445,5629142.812444445,247.0308168168168,1.1413489942571984,0.29110515193818115,0.13794841125355947,9.60100464281182,2372.581465923656,0.9357454284130396,0.09742888108732849,0.07692764641313436,Energy,1
electricity/W/short,q8_0,61599620190.0973,61599620190.0973,30782.192792792794,1.5181834427013081,0.24407566046412987,0.09777267509083255,12.616184265229073,248192.7077697838,0.5662938552687715,0.07023480579625416,0.05678009736176997,Energy,1
ett1/15T/short,q8_0,5.236422293526786,5.236422293526786,1.0886884416852678,0.6972666282839991,0.49571728777360036,0.23598004711791212,5.077849716383154,2.288323030851804,0.43258830463566644,0.20580743230546786,0.16329035441298523,Energy,7
ett1/15T/medium,q8_0,10.776896081349207,10.776896081349207,1.6529951016865079,1.04137851695469,0.7085576688900376,0.4065055768586055,7.167633721665798,3.282818313789115,0.6257084164706158,0.31506250076817116,0.24537468924418449,Energy,7
ett1/15T/long,q8_0,11.574429563492064,11.574429563492064,1.7212841021825396,1.0967166623907831,0.7647951189387463,0.426620019422977,7.298844250738194,3.4021213328586715,0.648447689865254,0.3280784517829607,0.25457760181369327,Energy,7
ett1/D/short,q8_0,50725.42222222222,50725.42222222222,151.61748511904761,1.85750287081216,0.9362225244915675,0.5236014012142516,10.832654419168412,225.22304993544117,0.5915558113803271,0.3982283538685407,0.3022345586330279,Energy,7
ett1/H/short,q8_0,106.99033668154762,106.99033668154762,5.327422223772321,0.8714811708704601,0.46032307942708334,0.2771789149620267,6.284507342500748,10.343613328114484,0.48277875149795724,0.24865259057050526,0.19171005980401204,Energy,7
ett1/H/medium,q8_0,166.52237723214284,166.52237723214284,8.09487072172619,1.478321917735343,4712546522030.698,0.4810214593544796,9.984351807775415,12.904354971564555,0.6180880823082993,0.38772516192792883,0.29719905485726184,Energy,7
ett1/H/long,q8_0,180.79424603174604,180.79424603174604,8.320091352513227,1.4951491458210877,4304050389083.0283,0.49141284913162253,9.18353714007322,13.445975086684715,0.6438986249411381,0.39843115480506475,0.3032619579903647,Energy,7
ett1/W/short,q8_0,1255806.2857142857,1255806.2857142857,906.4574497767857,1.5735556762666287,0.688596384865897,0.566616244591364,8.944400119342847,1120.6276302654178,0.4459244809415404,0.3607010543650161,0.2607992901814346,Energy,7
ett2/15T/short,q8_0,6.99699939546131,6.99699939546131,1.7101853143601191,0.7348640491017713,0.10282691799113201,0.12446044998499237,5.252838343017523,2.645184189326201,0.12557630359337923,0.08118858078148797,0.06376006431559343,Energy,7
ett2/15T/medium,q8_0,11.124089781746031,11.124089781746031,2.1278679935515874,0.8901371916644307,0.13417233459587052,0.16822663360324122,6.776621399518213,3.3352795657554752,0.17774307360661257,0.11339792960273945,0.09089865974175305,Energy,7
ett2/15T/long,q8_0,11.26954861111111,11.26954861111111,2.160551990327381,0.9143504944217323,0.13948394185569035,0.17441197894959573,7.305967137654333,3.357014836295948,0.178901385440859,0.11513971883813817,0.09398549374919576,Energy,7
ett2/D/short,q8_0,105813.85396825397,105813.85396825397,204.61937003968254,1.410152676249846,0.3904184977213542,0.14829888491295184,12.946838950941057,325.29041481152495,0.18617228689473486,0.11710906417368562,0.09738594090037346,Energy,7
ett2/H/short,q8_0,99.90177641369047,99.90177641369047,6.155232166108631,0.7162842428146856,0.11823031052620547,0.1074763216836518,5.08011820949519,9.995087614107765,0.12676552131211913,0.07806547020483896,0.061814833408144754,Energy,7
ett2/H/medium,q8_0,229.56236979166667,229.56236979166667,9.271883138020833,1.0169623701993775,0.17175044481897395,0.16522241514219047,7.196478985615791,15.151315777570828,0.20417371075464105,0.12494457998001088,0.0999084856450196,Energy,7
ett2/H/long,q8_0,250.9218253968254,250.9218253968254,9.546467840608466,1.0618580793476264,0.18290407680090057,0.17377907135285986,8.253051364948897,15.840512157024008,0.2169236222318883,0.13073152957284667,0.10611981744837126,Energy,7
ett2/W/short,q8_0,3303353.1428571427,3303353.1428571427,1291.6248604910713,0.909553165900365,0.14898840018681117,0.16895846457038705,8.048718973406176,1817.512900327572,0.1524614681664707,0.10834752397921907,0.08883541725494476,Energy,7
hierarchical_sales/D/short,q8_0,28.509497726333194,28.509497726333194,2.305903944036792,0.7439944086405376,0.6450994563963548,1.0662473901022143,7.150761342204246,5.339428595489708,1.6380775624915476,0.7074257936847645,0.5714626575613447,Sales,1
hierarchical_sales/W/short,q8_0,454.35755429025426,454.35755429025426,8.978604591498941,0.7309398561659278,0.5534878778237183,0.4593855257712109,6.773756290660562,21.315664528469533,0.978612584769061,0.41221212855788053,0.3543272307620054,Sales,1
hospital/M/short,q8_0,3595.302477183833,3595.302477183833,19.634730823554975,0.7811780760312729,0.19137850433575077,0.17549485299981954,5.32340826799193,59.96084119810056,0.21767177730604648,0.07127863235221614,0.05579134470048852,Healthcare,1
jena_weather/10T/short,q8_0,786.7532242063492,786.7532242063492,5.300380549355158,0.2694524953209519,0.3753149405138144,0.5448755801874042,2.239663825733914,28.0491216298541,0.17422021330476403,0.032922008827621224,0.02724687429991818,Nature,21
jena_weather/10T/medium,q8_0,1410.1772005772007,1410.1772005772007,9.192753427128427,0.5952866981736111,0.891542241604654,0.6416876772895951,5.266232788324186,37.55232616732552,0.23045798371956364,0.05641577062915698,0.04695445240070878,Nature,21
jena_weather/10T/long,q8_0,1392.8486772486772,1392.8486772486772,9.574018270502645,0.6586947124955408,0.9256760849494506,0.6348663567922989,5.685731831274846,37.32088794828812,0.22837291282299957,0.05858505946816832,0.048261056675327416,Nature,21
jena_weather/D/short,q8_0,363.6097718253968,363.6097718253968,9.54127216641865,1.0686498510196796,0.6283772786458334,0.45489935142763754,7.001216143593751,19.0685545289987,0.11482386437182869,0.05745405292810561,0.04576693036914001,Nature,21
jena_weather/H/short,q8_0,1064.0703842940686,1064.0703842940686,8.356242983761486,0.5360138040153664,1.6427820308526195,0.6082245630206233,4.567119677712247,32.620091727247924,0.1999590623106907,0.051223231542218764,0.041549706445783305,Nature,21
jena_weather/H/medium,q8_0,1299.0243055555557,1299.0243055555557,10.246899801587302,0.7667310733905651,2.6080766901376564,0.6604772233396172,6.340433386207828,36.04197976742615,0.22054726635352764,0.0627025972053025,0.05103668685861805,Nature,21
jena_weather/H/long,q8_0,1256.908201058201,1256.908201058201,10.805220734126983,0.8293617293196296,2.479628953464948,0.6391249452999026,6.487294026454735,35.45290116560563,0.21346576544793927,0.06505940667789518,0.05283716816526444,Nature,21
kdd_cup_2018/D/short,q8_0,2989.476959904249,2989.476959904249,21.684790378349625,1.2183055201400734,0.5148566201833567,0.47640743906754723,9.517251407213202,54.67610959005998,1.2248028739387873,0.4857623151189102,0.3844819922663089,Nature,1
kdd_cup_2018/H/short,q8_0,4275.015210537401,4275.015210537401,21.920538229563874,0.9123161970067906,0.8617802057595334,0.48401794243449514,7.074365644327503,65.38360047089331,1.3685971750369805,0.4588365657474991,0.36443228581571113,Nature,1
kdd_cup_2018/H/medium,q8_0,5070.427823583875,5070.427823583875,24.74359458166771,1.017541926075345,0.9968918279886069,0.5429668163888398,8.21641398441212,71.20693662547122,1.4904901453412671,0.517928247331778,0.41163730248932995,Nature,1
